REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,15172689,3745,Accidents Involving Damage to Unattended Veh.or Prop.,09/11/2015,02:34,East St & Foreland St,East Allegheny,1,,
OFFENSE 2.0,15172691,3502,Burglary.,09/11/2015,02:47,1400 block Chicago St,Northview Heights,1,,
OFFENSE 2.0,15171955,9488,False  Burglar Alarm,09/11/2015,02:56,3800 block Perrysville Ave,Perry North,1,,
OFFENSE 2.0,15172728,2701,Simple Assault.,09/11/2015,04:50,400 block Wabana St,Perry North,1,,
OFFENSE 2.0,15172728,1543,Driving While Operating Privilege is Suspended or Revoked.,09/11/2015,04:50,400 block Wabana St,Perry North,1,,
ARREST,15172728,2701,Simple Assault.,09/11/2015,05:05,400 block Wabana St,Perry North,1,36,M
ARREST,15172728,1543,Driving While Operating Privilege is Suspended or Revoked.,09/11/2015,05:05,400 block Wabana St,Perry North,1,36,M
OFFENSE 2.0,15172739,9999,9999 - (Misc. Incident): ,09/11/2015,05:51,100 block Rhine Pl,Spring Hill-City View,1,,
OFFENSE 2.0,15172742,3934,Theft from Vehicle,09/11/2015,06:00,2000 block Lowrie St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15172745,3304,Criminal Mischief.,09/11/2015,06:25,400 block East Commons,Allegheny Center,1,,
OFFENSE 2.0,15172756,3743,Accidents Involving Damage to Attended Veh. or Property,09/11/2015,06:50,West End Brg,Chateau,1,,
OFFENSE 2.0,15172772,9497,Aided Case,09/11/2015,08:22,2100 block Rhine St,Spring Hill-City View,1,,
OFFENSE 2.0,15172837,9488,False  Burglar Alarm,09/11/2015,09:29,100 block North Ave,Central Northside,1,,
OFFENSE 2.0,15172859,9488,False  Burglar Alarm,09/11/2015,10:07,500 block Chautauqua St,Perry South,1,,
OFFENSE 2.0,15172881,3934,Theft from Vehicle,09/11/2015,10:30,800 block Vista St,East Allegheny,1,,
OFFENSE 2.0,15172886,9488,False  Burglar Alarm,09/11/2015,10:52,2900 block California Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15172893,9999,9999 - (Misc. Incident): Non Reportable Accident.,09/11/2015,11:05,2300 block Hazelton St,Perry South,1,,
OFFENSE 2.0,15173198,3922,Theft by Deception.,09/11/2015,12:00,4700 block Plummer St,Shadyside,1,,
OFFENSE 2.0,15172917,9488,False  Burglar Alarm,09/11/2015,12:02,3100 block Viola St,Perry North,1,,
OFFENSE 2.0,15172918,3921(a),Theft by Unlawful Taking or Disposition - Movable item,09/11/2015,12:05,1600 block Federal St N,Central Northside,1,,
OFFENSE 2.0,15172925,9488,False  Burglar Alarm,09/11/2015,12:19,1100 block Pemberton,Fineview,1,,
OFFENSE 2.0,15172941,9124,Drug Investigation,09/11/2015,12:25,1200 block Western Ave,Chateau,1,,
OFFENSE 2.0,15173017,2501,Criminal Homicide.,09/11/2015,14:50,Brighton Rd & Marshall Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15173017,2702,Aggravated Assault.,09/11/2015,14:50,Brighton Rd & Marshall Ave,Marshall-Shadeland,1,,
ARREST,15173087,13(a)(16),Possession of Controlled Substance,09/11/2015,16:33,James St & East Ohio St,East Allegheny,1,39,F
ARREST,15173087,5505,Public Drunkenness,09/11/2015,16:33,James St & East Ohio St,East Allegheny,1,39,F
OFFENSE 2.0,15173087,13(a)(16),Possession of Controlled Substance,09/11/2015,16:33,James St & East Ohio St,East Allegheny,1,,
OFFENSE 2.0,15173087,5505,Public Drunkenness,09/11/2015,16:33,James St & East Ohio St,East Allegheny,1,,
OFFENSE 2.0,15173195,9501,Bench Warrant,09/11/2015,17:15,100 block Rhine Pl,Spring Hill-City View,1,,
OFFENSE 2.0,15173195,2702,Aggravated Assault.,09/11/2015,17:15,100 block Rhine Pl,Spring Hill-City View,1,,
OFFENSE 2.0,15173195,2701,Simple Assault.,09/11/2015,17:15,100 block Rhine Pl,Spring Hill-City View,1,,
OFFENSE 2.0,15173064,9999,9999 - (Misc. Incident): ,09/11/2015,17:38,1100 block Benton Pl,Brighton Heights,1,,
OFFENSE 2.0,15173159,3921(a),Theft by Unlawful Taking or Disposition - Movable item,09/11/2015,18:10,3100 block Wadlow St,Marshall-Shadeland,1,,
OFFENSE 2.0,15173227,13(a)(16),Possession of Controlled Substance,09/11/2015,18:18,Lecky Ave & Brighton Rd,Marshall-Shadeland,1,,
OFFENSE 2.0,15173227,1301,Registration and Certificate of Title Required.,09/11/2015,18:18,Lecky Ave & Brighton Rd,Marshall-Shadeland,1,,
OFFENSE 2.0,15173227,1543,Driving While Operating Privilege is Suspended or Revoked.,09/11/2015,18:18,Lecky Ave & Brighton Rd,Marshall-Shadeland,1,,
OFFENSE 2.0,15173227,9015,Failure To Appear/Arrest on Attachment Order,09/11/2015,18:18,Lecky Ave & Brighton Rd,Marshall-Shadeland,1,,
ARREST,15137347,9015,Failure To Appear/Arrest on Attachment Order,09/11/2015,18:18,1300 block Woods Run Ave,Brighton Heights,1,47,M
ARREST,15173227,1301,Registration and Certificate of Title Required.,09/11/2015,18:18,Lecky Ave & Brighton Rd,Marshall-Shadeland,1,47,M
