REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,15123459,2702,Aggravated Assault.,07/06/2015,00:25,Perrysville Ave & N Charles St,Perry South,1,,
ARREST,15123471,6106,Firearms not to be Carried without a License.,07/06/2015,00:46,1600 block Pennsylvania Ave,Chateau,1,20,M
OFFENSE 2.0,15123471,6106,Firearms not to be Carried without a License.,07/06/2015,00:46,1600 block Pennsylvania Ave,Chateau,1,,
ARREST,15123471,6105(a)(1),Persons not to possess  use  manufacture  control  sell or transfer firearms: Former Convict enumerated in subsection (b),07/06/2015,00:46,1600 block Pennsylvania Ave,Chateau,1,20,M
OFFENSE 2.0,15123471,6105(a)(1),Persons not to possess  use  manufacture  control  sell or transfer firearms: Former Convict enumerated in subsection (b),07/06/2015,00:46,1600 block Pennsylvania Ave,Chateau,1,,
OFFENSE 2.0,15123489,5503,Disorderly Conduct.,07/06/2015,00:51,1600 block Pennsylvania Ave,Chateau,1,,
OFFENSE 2.0,15123478,2702,Aggravated Assault.,07/06/2015,01:00,2900 block N Charles St,Perry South,1,,
OFFENSE 2.0,15123470,9999,9999 - (Misc. Incident): ,07/06/2015,01:25,1000 block Sheffield St,Manchester,1,,
OFFENSE 2.0,15123519,601.11(a),Littering and Dumping; Any waste  dangerous or detrimental substance upon public property,07/06/2015,02:24,500 block East Ohio St,East Allegheny,1,,
OFFENSE 2.0,15123532,3934,Theft from Vehicle,07/06/2015,02:50,1500 block Warren St,Fineview,1,,
OFFENSE 2.0,15123533,3503(b)(1)(i),Actual Communication,07/06/2015,03:00,1400 block Beaver Ave,Chateau,1,,
OFFENSE 2.0,15123533,5505,Public Drunkenness,07/06/2015,03:00,1400 block Beaver Ave,Chateau,1,,
OFFENSE 2.0,15123533,4914,False Identification to Law Enforcement Authorities,07/06/2015,03:00,1400 block Beaver Ave,Chateau,1,,
ARREST,15123533,4914,False Identification to Law Enforcement Authorities,07/06/2015,03:35,1400 block Beaver Ave,Chateau,1,,M
ARREST,15123533,3503(b)(1)(i),Actual Communication,07/06/2015,03:35,1400 block Beaver Ave,Chateau,1,,M
ARREST,15123533,5505,Public Drunkenness,07/06/2015,03:35,1400 block Beaver Ave,Chateau,1,,M
OFFENSE 2.0,15123554,4526,Safety Glass.,07/06/2015,04:01,East Ohio St & James St,East Allegheny,1,,
OFFENSE 2.0,15123554,4107(b)(2),Vehicle Equipment Standards,07/06/2015,04:01,East Ohio St & James St,East Allegheny,1,,
OFFENSE 2.0,15123554,3334,Turning Movements and Required Signals.,07/06/2015,04:01,East Ohio St & James St,East Allegheny,1,,
OFFENSE 2.0,15123554,13(a)(32),Paraphernalia - Use or Possession,07/06/2015,04:01,East Ohio St & James St,East Allegheny,1,,
ARREST,15123554,4526,Safety Glass.,07/06/2015,04:01,East Ohio St & James St,East Allegheny,1,53,M
ARREST,15123554,4107(b)(2),Vehicle Equipment Standards,07/06/2015,04:01,East Ohio St & James St,East Allegheny,1,53,M
ARREST,15123554,3334,Turning Movements and Required Signals.,07/06/2015,04:01,East Ohio St & James St,East Allegheny,1,53,M
ARREST,15123554,13(a)(32),Paraphernalia - Use or Possession,07/06/2015,04:01,East Ohio St & James St,East Allegheny,1,53,M
OFFENSE 2.0,15123572,9497,Aided Case,07/06/2015,04:48,1500 block Davis Ave,Brighton Heights,1,,
OFFENSE 2.0,15123607,3502,Burglary.,07/06/2015,07:05,4000 block Perrysville Ave,Perry North,1,,
OFFENSE 2.0,15123667,3934,Theft from Vehicle,07/06/2015,09:00,1500 block Warren St,Fineview,1,,
OFFENSE 2.0,15123667,3304,Criminal Mischief.,07/06/2015,09:00,1500 block Warren St,Fineview,1,,
OFFENSE 2.0,15123674,9497,Aided Case,07/06/2015,10:14,2900 block N Charles St,Perry South,1,,
OFFENSE 2.0,15123397,9999,9999 - (Misc. Incident): ,07/06/2015,10:32,1400 block Evandale Rd,Marshall-Shadeland,1,,
OFFENSE 2.0,15123821,3502,Burglary.,07/06/2015,11:00,1800 block Chellis,Central Northside,1,,
OFFENSE 2.0,15123751,2709,Harassment (Non-Specific),07/06/2015,12:20,1200 block Goe Ave,Brighton Heights,1,,
OFFENSE 2.0,15123801,5507,Obstructing Highways and Passages.,07/06/2015,13:46,Madison Ave & East Ohio St,East Allegheny,1,,
OFFENSE 2.0,15123857,3743,Accidents Involving Damage to Attended Veh. or Property,07/06/2015,14:50,Marshall Ave & California Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15123838,2701,Simple Assault.,07/06/2015,15:37,1000 block Sheffield St,Manchester,1,,
OFFENSE 2.0,15123838,2709,Harassment (Non-Specific),07/06/2015,15:37,1000 block Sheffield St,Manchester,1,,
ARREST,15122616,13(a)(32),Paraphernalia - Use or Possession,07/06/2015,16:49,1300 block Lowrie St,Troy Hill-Herrs Island,1,43,M
OFFENSE 2.0,15124069,3304,Criminal Mischief.,07/06/2015,19:45,Winifred St & Colfax St,California-Kirkbride,1,,
