REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,15188900,029,Missing Juvenile,10/03/2015,00:21,2000 block Termon Ave,Brighton Heights,1,,
ARREST,15188907,4914,False Identification to Law Enforcement Authorities,10/03/2015,00:21,1200 block Western Ave,Chateau,1,35,M
OFFENSE 2.0,15188907,601.16,Public Urination And Defecation,10/03/2015,00:21,1200 block Western Ave,Chateau,1,,
OFFENSE 2.0,15188907,4914,False Identification to Law Enforcement Authorities,10/03/2015,00:21,1200 block Western Ave,Chateau,1,,
ARREST,15188907,13(a)(31),Marijuana: Possession Small Amount,10/03/2015,00:21,1200 block Western Ave,Chateau,1,35,M
ARREST,15188907,1543,Driving While Operating Privilege is Suspended or Revoked.,10/03/2015,00:21,1200 block Western Ave,Chateau,1,35,M
ARREST,15188907,3802(a)(1),DUI - General Impairment,10/03/2015,00:21,1200 block Western Ave,Chateau,1,35,M
ARREST,15188907,3802(b),DUI - High Rate of Alchol - BAC >=.10% <.16%,10/03/2015,00:21,1200 block Western Ave,Chateau,1,35,M
ARREST,15188907,601.16,Public Urination And Defecation,10/03/2015,00:21,1200 block Western Ave,Chateau,1,35,M
OFFENSE 2.0,15188907,13(a)(31),Marijuana: Possession Small Amount,10/03/2015,00:21,1200 block Western Ave,Chateau,1,,
OFFENSE 2.0,15188907,1543,Driving While Operating Privilege is Suspended or Revoked.,10/03/2015,00:21,1200 block Western Ave,Chateau,1,,
OFFENSE 2.0,15188907,3802(a)(1),DUI - General Impairment,10/03/2015,00:21,1200 block Western Ave,Chateau,1,,
OFFENSE 2.0,15188907,3802(b),DUI - High Rate of Alchol - BAC >=.10% <.16%,10/03/2015,00:21,1200 block Western Ave,Chateau,1,,
OFFENSE 2.0,15188933,9496,Dead on Arrival (DOA),10/03/2015,01:10,500 block Foreland St,East Allegheny,1,,
OFFENSE 2.0,15188949,9488,False  Burglar Alarm,10/03/2015,01:55,200 block Perry View Ave,Perry North,1,,
OFFENSE 2.0,15189058,9498,302 (Mental),10/03/2015,05:23,1300 block Woodland Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15189067,9488,False  Burglar Alarm,10/03/2015,06:34,300 block North Shore Dr,East Allegheny,1,,
OFFENSE 2.0,15189079,9999,9999 - (Misc. Incident): ,10/03/2015,07:55,300 block Rising Main Ave,Fineview,1,,
OFFENSE 2.0,15189107,9497,Aided Case,10/03/2015,09:10,500 block Marshall Ave,Perry South,1,,
OFFENSE 2.0,15189108,9999,9999 - (Misc. Incident): ,10/03/2015,09:45,1300 block Davis Ave,Brighton Heights,1,,
OFFENSE 2.0,15189173,9497,Aided Case,10/03/2015,11:37,1500 block Sedgwick St,Manchester,1,,
OFFENSE 2.0,15189238,3304(a)(5),CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,10/03/2015,12:20,400 block East Ohio St,East Allegheny,1,,
OFFENSE 2.0,15189262,3502,Burglary.,10/03/2015,14:16,1400 block Chicago St,Northview Heights,1,,
OFFENSE 2.0,15189262,901,Criminal Attempt,10/03/2015,14:16,1400 block Chicago St,Northview Heights,1,,
OFFENSE 2.0,15189353,3736,Reckless Driving,10/03/2015,17:15,2800 block Stayton St,Marshall-Shadeland,1,,
OFFENSE 2.0,15189353,3925,Receiving Stolen Property.,10/03/2015,17:15,2800 block Stayton St,Marshall-Shadeland,1,,
OFFENSE 2.0,15189353,3921,Theft by Unlawful Taking or Disposition.,10/03/2015,17:15,2800 block Stayton St,Marshall-Shadeland,1,,
OFFENSE 2.0,15189353,3733,Fleeing or Attempting to Elude Police Officer,10/03/2015,17:15,2800 block Stayton St,Marshall-Shadeland,1,,
OFFENSE 2.0,15189353,3323,Stop Signs and Yield Signs.,10/03/2015,17:15,2800 block Stayton St,Marshall-Shadeland,1,,
ARREST,15189353,3733,Fleeing or Attempting to Elude Police Officer,10/03/2015,17:16,2800 block Stayton St,Marshall-Shadeland,1,18,M
ARREST,15189353,3736,Reckless Driving,10/03/2015,17:16,2800 block Stayton St,Marshall-Shadeland,1,18,M
ARREST,15189353,3921,Theft by Unlawful Taking or Disposition.,10/03/2015,17:16,2800 block Stayton St,Marshall-Shadeland,1,18,M
ARREST,15189353,3925,Receiving Stolen Property.,10/03/2015,17:16,2800 block Stayton St,Marshall-Shadeland,1,18,M
ARREST,15189353,3323,Stop Signs and Yield Signs.,10/03/2015,17:16,2800 block Stayton St,Marshall-Shadeland,1,18,M
OFFENSE 2.0,15189405,2702,Aggravated Assault.,10/03/2015,19:00,200 block Homer St,Spring Garden,1,,
ARREST,15189405,2702,Aggravated Assault.,10/03/2015,19:15,200 block Homer St,Spring Garden,1,20,F
OFFENSE 2.0,15189451,029,Missing Juvenile,10/03/2015,20:30,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,15189446,029,Missing Juvenile,10/03/2015,20:30,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,15189510,2706,Terroristic Threats.,10/03/2015,22:07,1300 block Reddour St,Central Northside,1,,
OFFENSE 2.0,15189546,2701,Simple Assault.,10/03/2015,23:31,1800 block Ley St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15189546,3702,Robbery of Motor Vehicle.,10/03/2015,23:31,1800 block Ley St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15189561,2709,Harassment (Non-Specific),10/03/2015,23:55,Allegheny Ave & Reedsdale St,Chateau,1,,
OFFENSE 2.0,15188976,9497,Aided Case,10/03/2015,03:00,1100 block Herron Ave,Polish Hill,2,,
ARREST,15175910,3502,Burglary.,10/03/2015,09:35,900 block Second Ave,West Oakland,2,25,M
ARREST,15174087,3701,Robbery.,10/03/2015,10:00,900 block Second Ave,Lower Lawrenceville,2,16,M
ARREST,15174087,903,Criminal Conspiracy.,10/03/2015,10:00,900 block Second Ave,Lower Lawrenceville,2,16,M
ARREST,15175651,4952,Intimidation of Witnesses or Victims,10/03/2015,10:30,900 block Second Ave,Morningside,2,28,M
ARREST,15175651,3502,Burglary.,10/03/2015,10:30,900 block Second Ave,Morningside,2,28,M
ARREST,15175651,3925,Receiving Stolen Property.,10/03/2015,10:30,900 block Second Ave,Morningside,2,28,M
