REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,SEX
OFFENSE 2.0,15017078,4905,False Alarms to Agencies of Public Safety.,00:03,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,15017078,4905,False Alarms to Agencies of Public Safety.,00:03,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,15017354,3304,Criminal Mischief.,07:00,2800 block California Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15017204,9496,Dead on Arrival (DOA),07:45,1100 block Goettmann St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15018099,3304,Criminal Mischief.,08:00,1800 block Lowrie St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15017277,029,Missing Juvenile,10:54,100 block Penfort St,Northview Heights,1,,
OFFENSE 2.0,15017316,3304,Criminal Mischief.,11:00,200 block E Ohio St,Allegheny Center,1,,
ARREST,14196837,3921,Theft by Unlawful Taking or Disposition.,11:30,2000 block Termon Ave,Brighton Heights,1,60,M
ARREST,14196837,4106,Access Device Fraud,11:30,2000 block Termon Ave,Brighton Heights,1,60,M
ARREST,14196837,3922,Theft by Deception.,11:30,2000 block Termon Ave,Brighton Heights,1,60,M
OFFENSE 2.0,15017444,3745,Accidents Involving Damage to Unattended Veh.or Prop.,16:30,200 block East Ohio St,Allegheny Center,1,,
ARREST,15016664,3304,Criminal Mischief.,16:45,1400 block Beckham St,Brighton Heights,1,26,M
OFFENSE 2.0,15017694,029,Missing Juvenile,17:00,1000 block Spring Garden Ave,Spring Garden,1,,
OFFENSE 2.0,15017459,029,Missing Juvenile,17:19,200 block Seabright St,Perry South,1,,
OFFENSE 2.0,15017585,3304,Criminal Mischief.,20:05,3000 block Shadeland Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15017592,3701,Robbery.,20:10,Shadeland Ave & Casement St,Marshall-Shadeland,1,,
OFFENSE 2.0,15017583,3934,Theft from Vehicle,20:20,700 block Casino Dr,Chateau,1,,
OFFENSE 2.0,15017580,9093,Indirect Criminal Contempt,20:45,600 block Armandale St,Central Northside,1,,
ARREST,15017580,9093,Indirect Criminal Contempt,21:00,600 block Armandale St,Central Northside,1,25,M
OFFENSE 2.0,15017600,3921(a),Theft by Unlawful Taking or Disposition - Movable item,21:16,1200 block Woodland Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15017600,3745,Accidents Involving Damage to Unattended Veh.or Prop.,21:16,1200 block Woodland Ave,Marshall-Shadeland,1,,
ARREST,15017593,902,Criminal Solicitation.,21:20,Middle St & Foreland St,East Allegheny,1,45,M
ARREST,15017593,5902(e),Patronizing a Prostitute,21:20,Middle St & Foreland St,East Allegheny,1,45,M
OFFENSE 2.0,15017593,5902(e),Patronizing a Prostitute,21:20,Middle St & Foreland St,East Allegheny,1,,
OFFENSE 2.0,15017593,902,Criminal Solicitation.,21:20,Middle St & Foreland St,East Allegheny,1,,
OFFENSE 2.0,15017615,902,Criminal Solicitation.,21:54,Middle St & Foreland St,East Allegheny,1,,
OFFENSE 2.0,15017615,13(a)(16),Possession of Controlled Substance,21:54,Middle St & Foreland St,East Allegheny,1,,
ARREST,15017615,902,Criminal Solicitation.,21:54,Middle St & Foreland St,East Allegheny,1,62,M
ARREST,15017615,13(a)(16),Possession of Controlled Substance,21:54,Middle St & Foreland St,East Allegheny,1,57,M
ARREST,15017615,5902(e),Patronizing a Prostitute,21:54,Middle St & Foreland St,East Allegheny,1,57,M
ARREST,15017615,902,Criminal Solicitation.,21:54,Middle St & Foreland St,East Allegheny,1,57,M
OFFENSE 2.0,15017615,5902(e),Patronizing a Prostitute,21:54,Middle St & Foreland St,East Allegheny,1,,
ARREST,15017615,5902(e),Patronizing a Prostitute,21:54,Middle St & Foreland St,East Allegheny,1,62,M
OFFENSE 2.0,15017625,9497,Aided Case,22:10,1000 block Pennsylvania Ave,Manchester,1,,
OFFENSE 2.0,15017640,029,Missing Juvenile,22:34,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,15017762,9488,False  Burglar Alarm,23:48,3500 block Fleming Ave,Brighton Heights,1,,
OFFENSE 2.0,15017184,3503(b.1)(i),Simple Trespasser -- threatening or terrorizing the owner or occupant of the premises,06:50,600 block Liberty Ave,Golden Triangle/Civic Arena,2,,
ARREST,14010061,3802(a)(1),DUI - General Impairment,07:45,600 block 1St Ave,Morningside,2,28,M
ARREST,14010061,13(a)(32),Paraphernalia - Use or Possession,07:45,600 block 1St Ave,Morningside,2,28,M
ARREST,14010061,4304(a)(1),Endangering Welfare of Children.,07:45,600 block 1St Ave,Morningside,2,28,M
OFFENSE 2.0,15017515,3745,Accidents Involving Damage to Unattended Veh.or Prop.,08:00,Stanton Ave & Kent Way,Central Lawrenceville,2,,
ARREST,15013489,5503,Disorderly Conduct.,09:00,600 block 1st Ave,Golden Triangle/Civic Arena,2,28,M
ARREST,15013489,2701,Simple Assault.,09:00,600 block 1st Ave,Golden Triangle/Civic Arena,2,28,M
OFFENSE 2.0,15017214,9491,Industrial Accident,09:30,500 block Smithfield St,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,15017281,5503,Disorderly Conduct.,11:55,600 block Grant St,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,15017281,5104,Resisting Arrest or Other Law Enforcement.,11:55,600 block Grant St,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,15017281,2706,Terroristic Threats.,11:55,600 block Grant St,Golden Triangle/Civic Arena,2,,
ARREST,15017281,2706,Terroristic Threats.,11:55,600 block Grant St,Golden Triangle/Civic Arena,2,42,M
ARREST,15017281,3503.B1I,DEF. TRESPASS ACTUAL COMMUNICATION,11:55,600 block Grant St,Golden Triangle/Civic Arena,2,42,M
ARREST,15017281,5104,Resisting Arrest or Other Law Enforcement.,11:55,600 block Grant St,Golden Triangle/Civic Arena,2,42,M
ARREST,15017281,5503,Disorderly Conduct.,11:55,600 block Grant St,Golden Triangle/Civic Arena,2,42,M
