REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,SEX
ARREST,15017078,4905,False Alarms to Agencies of Public Safety.,00:15,2000 block Termon Ave,Brighton Heights,1,16,F
OFFENSE 2.0,15020047,9488,False  Burglar Alarm,00:46,900 block Cedar Ave,East Allegheny,1,,
OFFENSE 2.0,15020055,9488,False  Burglar Alarm,01:20,3100 block Brighton Rd,Marshall-Shadeland,1,,
OFFENSE 2.0,15020076,2702,Aggravated Assault.,01:51,700 block East St,East Allegheny,1,,
OFFENSE 2.0,15020076,2901,Kidnapping.,01:51,700 block East St,East Allegheny,1,,
OFFENSE 2.0,15020076,3701,Robbery.,01:51,700 block East St,East Allegheny,1,,
OFFENSE 2.0,15020076,3702,Robbery of Motor Vehicle.,01:51,700 block East St,East Allegheny,1,,
OFFENSE 2.0,15020076,903,Criminal Conspiracy.,01:51,700 block East St,East Allegheny,1,,
OFFENSE 2.0,15020249,4915,Failure to Comply with Megans Law,08:00,1100 block W NORTH Ave,Manchester,1,,
OFFENSE 2.0,15020249,4915,Failure to Comply with Megans Law,08:00,1100 block W NORTH Ave,Manchester,1,,
OFFENSE 2.0,15020183,2709(a),Harassment.,09:30,100 block Rhine Pl,Spring Hill-City View,1,,
OFFENSE 2.0,15020307,9124,Drug Investigation,15:45,1200 block Western Ave,Chateau,1,,
OFFENSE 2.0,15020379,2701,Simple Assault.,16:22,900 block Woods Run Ave,Marshall-Shadeland,1,,
ARREST,14222569,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,16:37,200 block East Ohio St,Marshall-Shadeland,1,20,M
ARREST,14063562,13(a)(16),Possession of Controlled Substance,16:37,3100 block Shadeland Ave,Marshall-Shadeland,1,20,M
OFFENSE 2.0,15020425,9501,Bench Warrant,16:37,3100 block Shadeland Ave,Marshall-Shadeland,1,,
ARREST,14063562,13(a)(30),Possession w/ Intent to Del. Controlled Substance,16:37,3100 block Shadeland Ave,Marshall-Shadeland,1,20,M
ARREST,15020425,9501,Bench Warrant,16:37,3100 block Shadeland Ave,Marshall-Shadeland,1,20,M
OFFENSE 2.0,15020454,3304,Criminal Mischief.,17:00,1400 block Davis Ave,Brighton Heights,1,,
OFFENSE 2.0,15020417,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,17:00,2100 block Holyoke St,Perry South,1,,
OFFENSE 2.0,15020419,2709(a),Harassment.,17:09,3200 block Mitchell St,Marshall-Shadeland,1,,
OFFENSE 2.0,15020347,9124,Drug Investigation,17:30,1200 block Western Ave,Chateau,1,,
OFFENSE 2.0,15020494,7728,Accidents and Accident Reports.,18:45,Chestnut St & 16th St Brg,North Shore,1,,
ARREST,15020530,13(a)(31),Marijuana: Possession Small Amount,19:40,2100 block Rhine Pl,Perry North,1,37,F
ARREST,15020530,3334,Turning Movements and Required Signals.,19:40,2100 block Rhine Pl,Perry North,1,37,F
ARREST,15020530,13(a)(32),Paraphernalia - Use or Possession,20:55,2100 block Rhine Pl,Perry North,1,27,M
ARREST,15020530,13(a)(30)*,Delivery of Controlled Substance,20:55,2100 block Rhine Pl,Perry North,1,27,M
ARREST,15020530,13(a)(30),Possession w/ Intent to Del. Controlled Substance,20:55,2100 block Rhine Pl,Perry North,1,27,M
ARREST,15020530,13(a)(16),Possession of Controlled Substance,20:55,2100 block Rhine Pl,Perry North,1,27,M
OFFENSE 2.0,15020530,3334,Turning Movements and Required Signals.,21:00,2100 block Rhine Pl,Perry North,1,,
OFFENSE 2.0,15020530,13(a)(31),Marijuana: Possession Small Amount,21:00,2100 block Rhine Pl,Perry North,1,,
OFFENSE 2.0,15020530,13(a)(30)*,Delivery of Controlled Substance,21:00,2100 block Rhine Pl,Perry North,1,,
OFFENSE 2.0,15020530,13(a)(30),Possession w/ Intent to Del. Controlled Substance,21:00,2100 block Rhine Pl,Perry North,1,,
OFFENSE 2.0,15020530,13(a)(16),Possession of Controlled Substance,21:00,2100 block Rhine Pl,Perry North,1,,
OFFENSE 2.0,15020530,13(a)(32),Paraphernalia - Use or Possession,21:00,2100 block Rhine Pl,Perry North,1,,
OFFENSE 2.0,15020574,9999,9999 - (Misc. Incident): prisoner transport,21:03,1200 block Western Ave,Chateau,1,,
OFFENSE 2.0,15020578,9124,Drug Investigation,21:15,Middle St & Foreland St,East Allegheny,1,,
OFFENSE 2.0,15020608,9093,Indirect Criminal Contempt,22:30,200 block East Ohio St,Allegheny Center,1,,
OFFENSE 2.0,15020608,9501,Bench Warrant,22:30,200 block East Ohio St,Allegheny Center,1,,
ARREST,15020608,9501,Bench Warrant,22:35,200 block East Ohio St,Allegheny Center,1,20,M
ARREST,15020608,9093,Indirect Criminal Contempt,22:35,200 block East Ohio St,Allegheny Center,1,20,M
OFFENSE 2.0,15020612,9490,Missing Persons (18 and Over),22:48,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,15020630,9488,False  Burglar Alarm,23:33,1600 block Manhattan St,Manchester,1,,
OFFENSE 2.0,15021753,4106,Access Device Fraud,00:01,4500 block Hatfield St,Central Lawrenceville,2,,
OFFENSE 2.0,15020146,3502,Burglary.,07:40,1400 block Smallman St,Strip District,2,,
ARREST,14017527,2701,Simple Assault.,08:00,600 block 1st Ave,Golden Triangle/Civic Arena,2,20,M
OFFENSE 2.0,15020260,4915,Failure to Comply with Megans Law,08:00,900 block 2ND Ave,Bluff,2,,
ARREST,14017527,3921,Theft by Unlawful Taking or Disposition.,08:00,600 block 1st Ave,Golden Triangle/Civic Arena,2,20,M
OFFENSE 2.0,15020223,3745,Accidents Involving Damage to Unattended Veh.or Prop.,10:00,3700 block Melwood Ave,Polish Hill,2,,
OFFENSE 2.0,15020265,2709,Harassment (Non-Specific),11:30,3100 block Penn Ave,Strip District,2,,
ARREST,15017957,13(a)(31),Marijuana: Possession Small Amount,12:40,600 block First Ave,Perry North,2,16,M
OFFENSE 2.0,15020806,3745,Accidents Involving Damage to Unattended Veh.or Prop.,13:15,1700 block PENN Ave,Strip District,2,,
ARREST,15017271,2903,False Imprisonment.,14:00,4400 block Penn Ave,Central Lawrenceville,2,16,M
ARREST,15017271,2902,Unlawful Restraint.,14:00,4400 block Penn Ave,Central Lawrenceville,2,16,M
ARREST,15017271,2701,Simple Assault.,14:00,4400 block Penn Ave,Central Lawrenceville,2,16,M
ARREST,15015202,4952,Intimidation of Witnesses or Victims,14:00,600 block 1st Ave,East Liberty,2,13,M
ARREST,15015202,2709(b),Stalking,14:00,600 block 1st Ave,East Liberty,2,13,M
ARREST,15015202,2701,Simple Assault.,14:00,600 block 1st Ave,East Liberty,2,13,M
ARREST,15015667,3925,Receiving Stolen Property.,18:00,600 block 1st Ave NW,Central Northside,2,22,M
OFFENSE 2.0,15020831,2709(a)(5),Harassment Communicates Repeatedly in Anonymous Manner,18:47,400 block Grant St,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,15020577,2709,Harassment (Non-Specific),19:55,500 block Liberty Ave,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,15020567,3934,Theft from Vehicle,20:00,Vine St & Reed St,Crawford-Roberts,2,,
OFFENSE 2.0,15020567,3304,Criminal Mischief.,20:00,Vine St & Reed St,Crawford-Roberts,2,,
OFFENSE 2.0,15020582,3743,Accidents Involving Damage to Attended Veh. or Property,21:25,Bigelow Blvd & N Craig St,Upper Hill,2,,
OFFENSE 2.0,15021516,2709,Harassment (Non-Specific),23:59,100 block Fort Pitt Blvd,Golden Triangle/Civic Arena,2,,
ARREST,15018902,3714,Careless Driving,00:01,Saw Mill Run Blvd & Woodruff St,Duquesne Heights,3,45,M
OFFENSE 2.0,15020433,3921,Theft by Unlawful Taking or Disposition.,00:01,4600 block E Carson St,South Side Flats,3,,
ARREST,15018902,3743,Accidents Involving Damage to Attended Veh. or Property,00:01,Saw Mill Run Blvd & Woodruff St,Duquesne Heights,3,45,M
ARREST,15018902,3746,Immediate Notice of Accident to Police Department,00:01,Saw Mill Run Blvd & Woodruff St,Duquesne Heights,3,45,M
ARREST,15018902,3742,Accidents Involving Death or Personal Injury,00:01,Saw Mill Run Blvd & Woodruff St,Duquesne Heights,3,45,M
OFFENSE 2.0,15020433,4101,Forgery.,00:01,4600 block E Carson St,South Side Flats,3,,
OFFENSE 2.0,15021094,4120,Identity Theft,00:01,800 block Montooth St,Beltzhoover,3,,
OFFENSE 2.0,15020118,9016,Check on Elderly Person,05:30,1300 block Sterling St,South Side Slopes,3,,
