REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,15051291,9488,False  Burglar Alarm,03/25/2015,00:27,3500 block Mc Clure Ave,Brighton Heights,1,,
OFFENSE 2.0,15051301,029,Missing Juvenile,03/25/2015,01:00,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,15051339,9488,False  Burglar Alarm,03/25/2015,02:26,3700 block Hiawatha St,Brighton Heights,1,,
OFFENSE 2.0,15051390,9488,False  Burglar Alarm,03/25/2015,05:53,1800 block Metropolitan St,Chateau,1,,
OFFENSE 2.0,15051541,3934,Theft from Vehicle,03/25/2015,08:30,800 block N Lincoln Ave,Allegheny West,1,,
OFFENSE 2.0,15051541,3304,Criminal Mischief.,03/25/2015,08:30,800 block N Lincoln Ave,Allegheny West,1,,
OFFENSE 2.0,15051438,029,Missing Juvenile,03/25/2015,08:51,2400 block N Charles St,Perry South,1,,
OFFENSE 2.0,15051643,3745,Accidents Involving Damage to Unattended Veh.or Prop.,03/25/2015,09:00,300 block KENNEDY Ave,Perry South,1,,
ARREST,15048267,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,03/25/2015,12:43,1500 block Brighton Rd,Northview Heights,1,25,M
OFFENSE 2.0,15051607,3921,Theft by Unlawful Taking or Disposition.,03/25/2015,14:31,100 block Jacksonia St,Central Northside,1,,
ARREST,15003715,2705,Recklessly Endangering Another Person.,03/25/2015,15:12,100 block Rhine Pl,Spring Hill-City View,1,28,M
ARREST,15003715,3701,Robbery.,03/25/2015,15:12,100 block Rhine Pl,Spring Hill-City View,1,28,M
OFFENSE 2.0,15051632,3304,Criminal Mischief.,03/25/2015,15:15,900 block Suismon St,East Allegheny,1,,
OFFENSE 2.0,15051632,2709,Harassment (Non-Specific),03/25/2015,15:15,900 block Suismon St,East Allegheny,1,,
ARREST,15051695,9015,Failure To Appear/Arrest on Attachment Order,03/25/2015,17:30,East St & Sandusky St,Crafton Heights,1,23,M
OFFENSE 2.0,15051695,9015,Failure To Appear/Arrest on Attachment Order,03/25/2015,17:30,East St & Sandusky St,Crafton Heights,1,,
OFFENSE 2.0,15051721,3304,Criminal Mischief.,03/25/2015,17:35,500 block Mt Pleasant Rd,Northview Heights,1,,
ARREST,15056140,13(a)(30),Possession w/ Intent to Del. Controlled Substance,03/25/2015,18:19,3000 block Shadeland Ave,Marshall-Shadeland,1,33,M
OFFENSE 2.0,15056140,13(a)(30),Possession w/ Intent to Del. Controlled Substance,03/25/2015,18:19,3000 block Shadeland Ave,Marshall-Shadeland,1,,
ARREST,15056140,13(a)(16),Possession of Controlled Substance,03/25/2015,18:19,3000 block Shadeland Ave,Marshall-Shadeland,1,33,M
OFFENSE 2.0,15056140,13(a)(32),Paraphernalia - Use or Possession,03/25/2015,18:19,3000 block Shadeland Ave,Marshall-Shadeland,1,,
ARREST,15056140,13(a)(31),Marijuana: Possession Small Amount,03/25/2015,18:19,3000 block Shadeland Ave,Marshall-Shadeland,1,33,M
ARREST,15056140,13(a)(32),Paraphernalia - Use or Possession,03/25/2015,18:19,3000 block Shadeland Ave,Marshall-Shadeland,1,33,M
OFFENSE 2.0,15056140,13(a)(16),Possession of Controlled Substance,03/25/2015,18:19,3000 block Shadeland Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15051812,3921,Theft by Unlawful Taking or Disposition.,03/25/2015,18:45,1200 block Brighton Rd,Central Northside,1,,
OFFENSE 2.0,15051779,029,Missing Juvenile,03/25/2015,19:17,3200 block Richardson Ave,Brighton Heights,1,,
OFFENSE 2.0,15051778,9489,Found Property,03/25/2015,19:20,1400 block BOYLE St,Central Northside,1,,
ARREST,15046750,2701,Simple Assault.,03/25/2015,19:30,3800 block Harpen Rd,Summer Hill,1,44,M
ARREST,15042586,9501,Bench Warrant,03/25/2015,19:46,East Ohio St & Middle St,East Allegheny,1,26,F
ARREST,15040965,13(a)(16),Possession of Controlled Substance,03/25/2015,19:46,300 block Cedar Ave,East Allegheny,1,26,F
ARREST,15042586,9015,Failure To Appear/Arrest on Attachment Order,03/25/2015,19:46,East Ohio St & Middle St,East Allegheny,1,26,F
ARREST,15040965,2902,Unlawful Restraint.,03/25/2015,19:46,300 block Cedar Ave,East Allegheny,1,26,F
ARREST,15040965,903,Criminal Conspiracy.,03/25/2015,19:46,300 block Cedar Ave,East Allegheny,1,26,F
ARREST,15040965,3921,Theft by Unlawful Taking or Disposition.,03/25/2015,19:46,300 block Cedar Ave,East Allegheny,1,26,F
OFFENSE 2.0,15051853,029,Missing Juvenile,03/25/2015,22:03,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,15051872,3304,Criminal Mischief.,03/25/2015,22:05,100 block Hazlett St,Northview Heights,1,,
OFFENSE 2.0,15051892,9126,Prostitution Investigation,03/25/2015,23:15,1200 block Western Ave,Chateau,1,,
OFFENSE 2.0,15051296,6106,Firearms not to be Carried without a License.,03/25/2015,00:40,Bryn Mawr Rd & Iowa St,Upper Hill,2,,
ARREST,15051296,6106,Firearms not to be Carried without a License.,03/25/2015,00:40,Bryn Mawr Rd & Iowa St,Upper Hill,2,19,M
ARREST,15051296,3925,Receiving Stolen Property.,03/25/2015,00:40,Bryn Mawr Rd & Iowa St,Upper Hill,2,19,M
